epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,49,,0.30912214517593384,,
0,99,,0.24041609466075897,,
0,149,,0.1200384646654129,,
0,199,,0.16415005922317505,,
0,249,,0.14551691710948944,,
0,299,,0.18494977056980133,,
0,349,,0.2077508419752121,,
0,399,,0.16952410340309143,,
0,449,,0.10525671392679214,,
0,499,,0.08828873187303543,,
0,549,,0.0758717879652977,,
0,599,,0.06352921575307846,,
0,649,,0.06293486058712006,,
0,699,,0.0262326430529356,,
0,749,,0.04485189542174339,,
0,799,,0.027271218597888947,,
0,849,,0.038085486739873886,,
0,899,,0.014554157853126526,,
0,949,,0.017038416117429733,,
0,999,,0.10332974791526794,,
0,1049,,0.02324487268924713,,
0,1099,,0.015076704323291779,,
0,1149,,0.018139105290174484,,
0,1199,,0.013539064675569534,,
0,1249,,0.011933337897062302,,
0,1299,,0.011022364720702171,,
0,1349,,0.023566003888845444,,
0,1399,,0.00743185356259346,,
0,1449,,0.010605739429593086,,
0,1499,,0.011637317948043346,,
0,1549,,0.015777483582496643,,
0,1599,,0.010053565725684166,,
0,1649,,0.010103629902005196,,
0,1699,,0.014217650517821312,,
0,1749,,0.009705357253551483,,
0,1799,,0.042279474437236786,,
0,1849,,0.018362747505307198,,
0,1899,,0.009235466830432415,,
0,1949,,0.00710897333920002,,
0,1999,,0.01248023472726345,,
0,2049,,0.011502012610435486,,
0,2099,,0.00953305047005415,,
0,2149,,0.013342572376132011,,
0,2199,,0.011093081906437874,,
0,2249,,0.009253344498574734,,
0,2299,,0.00865580141544342,,
0,2349,,0.012203037738800049,,
0,2399,,0.015536663122475147,,
0,2449,,0.013972802087664604,,
0,2499,,0.007449827156960964,,
0,2549,,0.021656671538949013,,
0,2599,,0.008083689026534557,,
0,2649,,0.010676615871489048,,
0,2699,,0.007474126294255257,,
0,2749,,0.012571861036121845,,
0,2799,,0.004505418241024017,,
0,2849,,0.0029769388493150473,,
0,2899,,0.0033328633289784193,,
0,2949,,0.004257825203239918,,
0,2999,,0.0037472054827958345,,
0,3049,,0.004550841171294451,,
0,3099,,0.005414803046733141,,
0,3149,,0.005106987431645393,,
0,3199,,0.006044276524335146,,
0,3249,,0.006161525845527649,,
0,3299,,0.0074968477711081505,,
0,3349,,0.005949608515948057,,
0,3399,,0.00786326639354229,,
0,3449,,0.0060004377737641335,,
0,3499,,0.0031737140379846096,,
0,3549,,0.007544200401753187,,
0,3599,,0.003866021055728197,,
0,3649,,0.004605505615472794,,
0,3699,,0.009088174439966679,,
0,3749,,0.006637440528720617,,
0,3799,,0.004669941961765289,,
0,3849,,0.0046075801365077496,,
0,3899,,0.007032069377601147,,
0,3949,,0.0044576553627848625,,
0,3999,,0.006673669442534447,,
0,4049,,0.010232863016426563,,
0,4099,,0.002496010158210993,,
0,4149,,0.009811009280383587,,
0,4199,,0.007597053423523903,,
0,4249,,0.003743950743228197,,
0,4299,,0.00755902286618948,,
0,4349,,0.007606846746057272,,
0,4399,,0.004865959752351046,,
0,4449,,0.005254604388028383,,
0,4499,,0.004384262952953577,,
0,4549,,0.004120075609534979,,
0,4599,,0.0034282885026186705,,
0,4649,,0.006695568561553955,,
0,4699,,0.013575036078691483,,
0,4749,,0.004398765973746777,,
0,4799,,0.005811776965856552,,
0,4849,,0.003397655673325062,,
0,4899,,0.002631895709782839,,
0,4949,,0.0055669574066996574,,
0,4999,,0.0047338479198515415,,
0,5049,,0.003915677312761545,,
0,5099,,0.004336279816925526,,
0,5149,,0.0038548768498003483,,
0,5199,,0.004772167187184095,,
0,5249,,0.002095197094604373,,
0,5299,,0.007548972964286804,,
0,5349,,0.0022793570533394814,,
0,5399,,0.004402145743370056,,
0,5449,,0.005959673319011927,,
0,5499,,0.0032954178750514984,,
0,5549,,0.003584787715226412,,
0,5599,,0.0035644175950437784,,
0,5649,,0.003366144374012947,,
0,5699,,0.005007851868867874,,
0,5749,,0.007474520243704319,,
